"ReefID","ReefArea(km-sq)","Latitude","Longitude"
1,0.14551,9.792,99.2,
2,0.09332,9.9496,99.2,
3,0.012206,10.0284,99.28,
4,0.0002341,10.5794,99.36,
5,0.4075,10.658,99.36,
6,0.032679,10.7366,99.4399,
7,0.19593,10.8152,99.52,
8,0.30784,9.3976,99.6,
9,1.0328,9.4765,99.6,
10,0.67385,9.5554,99.6,
11,0.81702,9.6343,99.6,
12,0.078128,9.7131,99.6,
13,0.034788,11.4432,99.6801,
14,0.0066177,9.5554,99.76,
15,0.91001,10.0284,99.76,
16,5.9406,10.1072,99.76,
17,5.2589,9.3976,99.84,
18,1.7802,9.4765,99.84,
19,2.4399,9.5554,99.84,
20,0.049601,9.6343,99.84,
21,0.66608,9.792,99.84,
22,1.4696,9.6343,99.92,
23,4.895,9.792,99.92,
24,0.073584,9.3186,100,
25,2.0769,9.6343,100,
26,0.34027,9.8708,100,
27,0.34087,9.792,100.08,
28,0.47166,12.8509,100.5601,
29,1.2349,12.9289,100.5601,
30,0.53772,8.3701,100.64,
31,0.42616,12.7729,100.64,
32,0.15763,12.8509,100.64,
33,0.15753,13.0068,100.64,
34,4.2189,12.6948,100.72,
35,2.5187,12.9289,100.72,
36,0.1441,13.0068,100.72,
37,1.5412,12.6168,100.8,
38,2.0776,12.5387,100.88,
39,0.086364,12.5387,101.36,
40,0.18025,12.4606,101.6,
41,0.14593,12.5387,101.76,
42,0.14619,12.4606,101.84,
43,0.19853,12.3825,101.92,
44,0.02043,12.0697,102.16,
45,0.08915,12.2261,102.16,
46,2.1219,11.9132,102.24,
47,1.3041,11.9915,102.24,
48,0.12009,12.0697,102.24,
49,0.70753,11.7566,102.3199,
50,7.3653,11.8349,102.3199,
51,0.3466,11.6783,102.4,
52,6.9458,11.7566,102.4,
53,2.1211,11.5999,102.48,
54,2.2421,11.6783,102.48,
55,4.6463,11.7566,102.48,
56,0.096603,5.9095,102.5601,
57,0.78794,5.9891,102.5601,
58,0.069803,11.5216,102.5601,
59,0.92434,11.9132,102.5601,
60,3.466,5.9095,102.64,
61,0.20422,5.9891,102.64,
62,0.069872,11.5999,102.64,
63,0.16988,11.6783,102.64,
64,0.12142,5.7503,102.72,
65,0.11293,5.8299,102.72,
66,0.11275,5.9891,102.72,
67,2.7413,11.1293,102.72,
68,0.16869,5.7503,102.8,
69,1.2114,5.8299,102.8,
70,0.11274,5.9095,102.8,
71,0.045655,9.8708,102.8,
72,6.2303,9.9496,102.8,
73,0.98853,5.7503,102.88,
74,0.1353,5.9095,102.88,
