This file contains the cluster number at each minimum cluster size (MCS) computed using the dynamic tree cut algorithm. The rows are sorted according to the ReefID. A value of 0 indicates that the reef was not included in any cluster for a particular MCS value.
Reef ID,MCS=1,MCS=5,MCS=10,MCS=15,MCS=20,MCS=25,MCS=50,MCS=75,MCS=100,MCS=125,MCS=150,MCS=160
1,694,209,0,0,0,0,0,0,0,0,0,0
2,694,209,0,0,0,0,0,0,0,0,0,0
3,694,209,0,0,0,0,0,0,0,0,0,0
4,0,0,0,0,0,0,0,0,0,0,0,0
5,0,0,0,0,0,0,0,0,0,0,0,0
6,0,0,0,0,0,0,0,0,0,0,0,0
7,0,0,0,0,0,0,0,0,0,0,0,0
8,873,373,0,0,0,0,0,0,0,0,0,0
9,873,373,0,0,0,0,0,0,0,0,0,0
10,627,373,0,0,0,0,0,0,0,0,0,0
11,627,373,0,0,0,0,0,0,0,0,0,0
12,627,373,0,0,0,0,0,0,0,0,0,0
13,0,0,0,0,0,0,0,0,0,0,0,0
14,46,202,0,0,0,0,0,0,0,0,0,0
15,788,209,0,0,0,0,0,0,0,0,0,0
16,788,209,0,0,0,0,0,0,0,0,0,0
17,46,202,0,0,0,0,0,0,0,0,0,0
18,46,202,0,0,0,0,0,0,0,0,0,0
19,46,202,0,0,0,0,0,0,0,0,0,0
20,46,202,0,0,0,0,0,0,0,0,0,0
21,459,209,0,0,0,0,0,0,0,0,0,0
22,46,202,0,0,0,0,0,0,0,0,0,0
23,459,209,0,0,0,0,0,0,0,0,0,0
24,46,202,0,0,0,0,0,0,0,0,0,0
25,46,202,0,0,0,0,0,0,0,0,0,0
26,459,209,0,0,0,0,0,0,0,0,0,0
27,46,202,0,0,0,0,0,0,0,0,0,0
28,512,167,183,23,38,0,0,0,0,0,0,0
29,512,167,183,23,38,0,0,0,0,0,0,0
30,426,341,129,132,0,0,0,0,0,0,0,0
31,720,167,183,23,38,0,0,0,0,0,0,0
32,720,167,183,23,38,0,0,0,0,0,0,0
33,512,167,183,23,38,0,0,0,0,0,0,0
34,633,167,183,23,38,0,0,0,0,0,0,0
35,811,167,183,23,38,0,0,0,0,0,0,0
36,811,167,183,23,38,0,0,0,0,0,0,0
37,633,167,183,23,38,0,0,0,0,0,0,0
38,633,167,183,23,38,0,0,0,0,0,0,0
39,75,131,29,23,38,0,0,0,0,0,0,0
40,75,193,29,23,38,0,0,0,0,0,0,0
41,75,193,29,23,38,0,0,0,0,0,0,0
42,75,193,29,23,38,0,0,0,0,0,0,0
43,150,193,29,23,38,0,0,0,0,0,0,0
44,150,193,29,23,38,0,0,0,0,0,0,0
45,150,193,29,23,38,0,0,0,0,0,0,0
46,150,193,29,23,38,0,0,0,0,0,0,0
47,150,193,29,23,38,0,0,0,0,0,0,0
48,150,193,29,23,38,0,0,0,0,0,0,0
49,75,131,29,23,38,0,0,0,0,0,0,0
50,75,131,29,23,38,0,0,0,0,0,0,0
51,402,131,29,23,38,0,0,0,0,0,0,0
52,75,131,29,23,38,0,0,0,0,0,0,0
53,402,131,29,23,38,0,0,0,0,0,0,0
54,402,131,29,23,38,0,0,0,0,0,0,0
55,75,131,29,23,38,0,0,0,0,0,0,0
56,426,341,129,132,0,0,0,0,0,0,0,0
57,426,341,129,132,0,0,0,0,0,0,0,0
58,402,131,29,23,38,0,0,0,0,0,0,0
59,0,0,0,0,0,0,0,0,0,0,0,0
60,426,341,129,132,0,0,0,0,0,0,0,0
61,863,341,129,132,0,0,0,0,0,0,0,0
62,854,131,29,23,38,0,0,0,0,0,0,0
63,854,131,29,23,38,0,0,0,0,0,0,0
64,432,173,129,132,0,0,0,0,0,0,0,0
65,432,173,129,132,0,0,0,0,0,0,0,0
66,863,341,129,132,0,0,0,0,0,0,0,0
67,569,329,9,33,46,0,0,0,0,0,0,0
68,432,173,129,132,0,0,0,0,0,0,0,0
69,432,173,129,132,0,0,0,0,0,0,0,0
70,686,173,129,132,0,0,0,0,0,0,0,0
71,229,277,29,23,38,0,0,0,0,0,0,0
72,229,277,29,23,38,0,0,0,0,0,0,0
73,619,173,129,132,0,0,0,0,0,0,0,0
74,686,173,129,132,0,0,0,0,0,0,0,0
75,229,277,29,23,38,0,0,0,0,0,0,0
76,229,277,29,23,38,0,0,0,0,0,0,0
77,642,304,183,23,38,0,0,0,0,0,0,0
78,537,329,9,33,46,0,0,0,0,0,0,0
79,537,329,9,33,46,0,0,0,0,0,0,0
80,619,173,129,132,0,0,0,0,0,0,0,0
81,619,173,129,132,0,0,0,0,0,0,0,0
82,686,173,129,132,0,0,0,0,0,0,0,0
83,229,277,29,23,38,0,0,0,0,0,0,0
84,878,277,9,33,46,0,0,0,0,0,0,0
85,569,329,9,33,46,0,0,0,0,0,0,0
